episode_id,match_id,competition_name,possession_origin_pattern,restart_event_type,restart_event_timestamp,restart_location,turnover_event_type,turnover_event_timestamp,turnover_location,elapsed_time_restart_to_turnover,num_events_between,num_successful_passes,events_sequence_summary,initiation_event_type,initiation_timestamp,initiation_location,counterpressing_team,possession_team,turnover_context
3904628_p130_16855005,3904628,Women's World Cup,Other,Referee Ball-Drop,00:13:51.293,"[81.5, 37.0]",Pass,00:13:54.160,"[36.0, 46.1]",2.867,2,0,Referee Ball-Drop -> Pass,Pressure,00:13:57.844,"[84.7, 53.9]",Spain Women's,Spain Women's,immediate_restart_phase
3835329_p176_5d959bf4,3835329,UEFA Women's Euro,Other,Referee Ball-Drop,00:40:49.920,"[73.3, 33.8]",Pass,00:40:54.078,"[50.7, 42.8]",4.158,2,0,Referee Ball-Drop -> Pass,Pressure,00:41:01.694,"[45.4, 5.8]",Denmark Women's,Denmark Women's,immediate_restart_phase
3930167_p112_be234fb3,3930167,UEFA Euro,Other,Referee Ball-Drop,00:20:04.429,"[76.8, 69.5]",Pass,00:20:04.857,"[42.3, 10.6]",0.428,2,0,Referee Ball-Drop -> Pass,Pressure,00:20:06.764,"[75.7, 58.0]",Croatia,Croatia,immediate_restart_phase
3938642_p126_dd9a164c,3938642,UEFA Euro,Other,Referee Ball-Drop,00:23:34.496,"[70.3, 21.5]",Pass,00:23:37.470,"[89.6, 3.5]",2.974,2,0,Referee Ball-Drop -> Pass,Pressure,00:23:43.216,"[23.3, 65.2]",Georgia,Georgia,immediate_restart_phase
3998853_p31_69f32a25,3998853,UEFA Women's Euro,Other,Referee Ball-Drop,00:16:03.389,"[87.7, 77.8]",Ball Recovery,00:16:04.274,"[42.8, 1.4]",0.885,2,0,Referee Ball-Drop -> Ball Recovery,Pressure,00:16:06.144,"[68.5, 77.9]",Iceland Women's,Iceland Women's,immediate_restart_phase
3938640_p96_2bc7c51e,3938640,UEFA Euro,Other,Referee Ball-Drop,00:12:14.153,"[101.1, 37.8]",Ball Recovery,00:12:18.986,"[19.4, 42.6]",4.833,2,0,Referee Ball-Drop -> Ball Recovery,Pressure,00:12:19.141,"[93.7, 36.7]",Slovakia,Slovakia,immediate_restart_phase
3901797_p153_9fa37361,3901797,Women's World Cup,Other,Referee Ball-Drop,00:29:39.991,"[106.1, 54.7]",Ball Receipt*,00:29:55.743,"[73.8, 57.4]",15.752,3,1,Referee Ball-Drop -> Pass -> Ball Receipt*,Pressure,00:30:02.989,"[10.3, 15.0]",Sweden Women's,Sweden Women's,ambiguous
3857274_p89_e71b862a,3857274,FIFA World Cup,Other,Referee Ball-Drop,00:01:20.839,"[34.4, 61.8]",Ball Receipt*,00:01:25.058,"[72.2, 20.5]",4.219,5,2,Referee Ball-Drop -> Pass -> Ball Receipt* -> Pass -> Ball Receipt*,Pressure,00:01:32.850,"[46.9, 69.1]",Netherlands,Netherlands,ambiguous
3857295_p94_6cc564a8,3857295,FIFA World Cup,Other,Referee Ball-Drop,00:05:48.617,"[13.7, 38.9]",Duel,00:06:07.940,"[27.9, 42.2]",19.323,14,0,Referee Ball-Drop -> Ball Recovery -> Carry -> Player On -> Pass -> Ball Receipt* ... (+8 more),Pressure,00:06:09.371,"[95.6, 32.9]",Costa Rica,Costa Rica,immediate_restart_phase
4020077_p33_cce87858,4020077,UEFA Women's Euro,Other,Referee Ball-Drop,00:14:47.790,"[91.7, 28.3]",Ball Recovery,00:14:48.712,"[28.0, 51.8]",0.922,2,0,Referee Ball-Drop -> Ball Recovery,Pressure,00:14:48.807,"[88.6, 29.2]",Spain Women's,Spain Women's,immediate_restart_phase
